Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,31.875,49.99465,43.15403921568628,70.52
20210201,29.875,49.87885,33.04150627615062,
20210301,33.8,49.90915,52.33979289940829,
20210401,34.0,52.08644999999999,46.80455882352943,
20210501,31.875,49.8001,43.76439215686274,
20210601,31.8,49.96465,42.87845911949686,
20210701,31.4375,50.03939999999999,40.828946322067615,
20210801,35.625,50.067,59.46105263157895,
20210901,42.4,53.543,73.7193396226415,
20211001,42.875,50.44,82.35568513119534,
20211101,40.3,50.71085,74.16662531017369,
20211201,36.0,50.71695,59.11958333333334,
20220101,35.875,50.88505,58.16013937282229,
20220201,43.25,50.85745,82.41052023121387,
20220301,48.5,50.214,96.4659793814433,
20220401,41.5,50.214,79.00240963855421,
20220501,46.25,53.40745,84.52443243243243,
20220601,58.0,50.28545,86.69905172413792,
20220701,69.5,50.36019999999999,72.46071942446042,
20220801,87.8,53.500699999999995,60.93473804100227,
20220901,95.75,53.272549999999995,55.637127937336814,
20221001,114.375,50.391949999999994,44.05853551912568,
20221101,77.3,50.48105,65.30536869340233,
20221201,48.75,50.45695,96.4985641025641,
20230101,58.75,50.528400000000005,86.00578723404256,
20230201,87.0,50.41955,57.953505747126435,
20230301,66.25,50.36385,76.02090566037735,
20230401,46.5,50.42934999999999,91.54978494623658,
20230501,58.0,50.45695,86.99474137931034,
20230601,51.875,50.62505,97.59045783132531,
20230701,46.625,50.45695,91.78134048257373,
20230801,42.3,50.62505,80.31903073286051,
20230901,51.75,50.3447,97.28444444444445,
20231001,69.625,50.1278,71.99684021543986,
20231101,59.0,50.3542,85.34610169491526,
20231201,61.4375,50.3542,81.96004069175991,
