Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,26312.5,27076.319900000006,97.09712152019,88.16
20210201,25187.5,26498.9808,94.79312833746899,
20210301,25000.0,26576.116799999996,93.69553280000001,
20210401,25000.0,26445.701699999994,94.21719320000003,
20210501,24750.0,26387.4977,93.38384767676767,
20210601,23300.0,25900.345899999993,88.839717167382,
20210701,23000.0,25603.811299999994,88.67908130434785,
20210801,22875.0,25861.43990000001,86.94452502732237,
20210901,26350.0,25729.320499999994,97.64448007590131,
20211001,27312.5,26282.8419,96.2300847597254,
20211101,23750.0,26342.008599999997,89.08627957894738,
20211201,22750.0,25886.7289,86.21218065934066,
20220101,21375.0,24838.174700000007,83.79801309941517,
20220201,22437.5,24670.9617,90.04585314763231,
20220301,23000.0,24982.801799999997,91.37912260869567,
20220401,22500.0,25348.34269999999,87.34069911111115,
20220501,22500.0,25313.895199999995,87.49379911111113,
20220601,22900.0,25208.343599999993,89.91989694323146,
20220701,29562.5,26087.27589999999,88.24448507399573,
20220801,43250.0,31634.737800000014,73.14390242774569,
20220901,48187.5,50669.527499999975,94.84922957198448,
20221001,53062.5,54377.05239999999,97.52263387514725,
20221101,50600.0,63150.56589999998,75.19651007905142,
20221201,46625.0,56673.422599999976,78.44842337801614,
20230101,45750.0,52287.419100000014,85.71055934426226,
20230201,57650.0,51863.7339,89.9631117085863,
20230301,52062.5,62205.21279999997,80.51819870348145,
20230401,43875.0,56084.18679999998,72.17279361823365,
20230501,44150.0,49231.245099999986,88.49095107587772,
20230601,44375.0,50294.49019999999,86.6603037746479,
20230701,47062.5,49630.0746,94.54433019920319,
20230801,49000.0,51649.36239999999,94.5931379591837,
20230901,46875.0,57984.080399999984,76.30062848000003,
20231001,51250.0,51115.8489,99.73824175609755,
20231101,50000.0,60628.19039999997,78.74361920000005,
20231201,50250.0,59149.099799999974,82.29034865671647,
