Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,4.24641,4.717150099999999,88.91439827995886,89.28
20210201,4.37636,4.513346399999998,96.86985531354829,
20210301,4.35703,4.694343999999998,92.25816668694046,
20210401,4.35543,4.704611699999999,91.98284210743833,
20210501,4.08352,4.6702512999999986,85.63172703941702,
20210601,4.01159,4.590748999999996,85.56285662293514,
20210701,3.97068,4.592418599999998,84.34176010154438,
20210801,4.4206,4.5708866999999955,96.60030991268165,
20210901,5.40433,4.768296599999997,88.23104066554035,
20211001,5.42632,5.711015299999998,94.75343695174634,
20211101,4.84896,5.902435799999999,78.27419075430609,
20211201,4.6897,5.078614899999998,91.7070409621085,
20220101,4.62266,4.801945299999999,96.12159881972718,
20220201,5.48315,4.855037799999998,88.54468325688697,
20220301,6.79605,5.833715000000001,85.83978928936662,
20220401,5.29152,7.441967999999999,59.36048621190133,
20220501,5.73341,5.5688265999999995,97.12939768828672,
20220601,7.07679,6.472493400000002,91.46086573149694,
20220701,8.11634,9.322579600000001,85.1381336908015,
20220801,9.55387,10.0402591,94.90898347999293,
20220901,10.8214,9.900279000000001,91.48796828506478,
20221001,13.60838,9.950994500000004,73.12401990538186,
20221101,9.98419,9.605858000000001,96.21068909946628,
20221201,8.18021,8.949604700000005,90.59443828459166,
20230101,8.66229,8.307374500000002,95.9027520436282,
20230201,11.28442,9.064612000000002,80.32855919932085,
20230301,8.93158,8.828283700000005,98.84347114396338,
20230401,7.04217,8.829910500000002,74.61378381947605,
20230501,8.83333,8.460482400000007,95.7790821807858,
20230601,7.91606,8.8108777,88.69617334886293,
20230701,7.85121,8.708516800000003,89.08057738870819,
20230801,7.60562,8.671847000000001,85.98106400267169,
20230901,8.99194,8.965393300000004,99.7047722738364,
20231001,10.09995,8.972716000000004,88.83921207530734,
20231101,8.80205,8.924497100000005,98.60887974960372,
20231201,9.22828,8.554066800000006,92.69405349642628,
