Time Series,Actual Value,Predicted Value,Accuracy,Average Accuracy
20210101,31.875,35.625,88.24,27.04
20210201,29.875,28.4,95.06,
20210301,33.8,38.61,85.77,
20210401,34.0,35.2,96.47,
20210501,31.875,38.48,79.28,
20210601,31.8,38.48,78.99,
20210701,31.4375,28.4,90.34,
20210801,35.625,38.48,91.99,
20210901,42.4,28.4,66.98,
20211001,42.875,35.625,83.09,
20211101,40.3,145.75,-161.66,
20211201,36.0,35.625,98.96,
20220101,35.875,35.625,99.3,
20220201,43.25,38.48,88.97,
20220301,48.5,145.75,-100.52,
20220401,41.5,145.75,-151.2,
20220501,46.25,145.75,-115.14,
20220601,58.0,145.75,-51.29,
20220701,69.5,41.25,59.35,
20220801,87.8,81.26,92.55,
20220901,95.75,81.26,84.87,
20221001,114.375,81.0,70.82,
20221101,77.3,139.41,19.65,
20221201,48.75,57.25,82.56,
20230101,58.75,145.75,-48.09,
20230201,87.0,42.49,48.84,
20230301,66.25,57.25,86.42,
20230401,46.5,52.875,86.29,
20230501,58.0,145.75,-51.29,
20230601,51.875,42.49,81.91,
20230701,46.625,145.75,-112.6,
20230801,42.3,145.75,-144.56,
20230901,51.75,145.75,-81.64,
20231001,69.625,145.75,-9.34,
20231101,59.0,44.125,74.79,
20231201,61.4375,42.49,69.16,
