Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,34.3565,54.526201904155954,41.29290846228236,70.8
20210201,35.06044,54.62564248797494,44.19578736611707,
20210301,35.443,54.903489293495085,45.09356066502529,
20210401,36.02158,54.82744496895666,47.79278152441769,
20210501,33.595,54.68553551408752,37.22120698292151,
20210601,34.24591,54.650582368750676,40.417199108592314,
20210701,33.07905,54.580573644680335,34.99957331096167,
20210801,37.63909,54.6014991252142,54.93406156946358,
20210901,44.65048,54.64943712235256,77.60615983892546,
20211001,44.98773,54.720533694927255,78.36564837806385,
20211101,41.28389,54.65657473663287,67.6079828314801,
20211201,37.4685,54.86913819874944,53.55928793853653,
20220101,36.4,54.94134703585895,49.0622334179699,
20220201,44.60348,55.196214587151886,76.25132705530625,
20220301,56.82632,55.31419432168775,97.33903994080164,
20220401,44.53952,55.264253334236585,75.92086009405449,
20220501,48.283,55.47916350944062,85.09586498469312,
20220601,59.55857,55.6286725115029,93.40162551166506,
20220701,69.87409,55.77010557058006,79.81514402631943,
20220801,86.73191,55.891250759193184,64.44139274598378,
20220901,94.95143,56.08072367863299,59.06253721363963,
20221001,111.50364,56.30903954733478,50.49973215881991,
20221101,78.40765,56.35246155250749,71.87112680013684,
20221201,51.18476,56.643602896109485,89.33502297146751,
20230101,61.715,56.738699654342334,91.93664369171569,
20230201,85.43913,57.03061150433193,66.74999090502433,
20230301,62.91632,56.88041472253372,90.4064553084696,
20230401,45.11591,56.73313848324726,74.2502623060307,
20230501,61.04773,56.3647957153117,92.32906074527538,
20230601,53.28286,56.458407931244885,94.04020743022261,
20230701,49.52261,56.39866345570578,86.11532498851378,
20230801,47.10048,56.09933010442752,80.89435584429813,
20230901,55.81955,55.968717350124635,99.7327686265392,
20231001,69.61046,55.86681563856102,80.25635175886069,
20231101,60.9375,55.76886623327551,91.51813945973417,
20231201,65.18682,55.75404096082044,85.52962233902565,
