Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,4.24641,4.358324268159484,97.36449687713896,87.05
20210201,4.37636,4.1960549790106025,95.88002310163246,
20210301,4.35703,4.970118165173635,85.92875960978843,
20210401,4.35543,4.766635289548039,90.55879007243742,
20210501,4.08352,4.752323482001215,83.62188792999142,
20210601,4.01159,4.4408997276989,89.29826508444532,
20210701,3.97068,4.639971642311769,83.1441556027741,
20210801,4.4206,4.5311732308793164,97.49868273810533,
20210901,5.40433,5.021083511443326,92.90852911356868,
20211001,5.42632,5.882375878335507,91.59548500023021,
20211101,4.84896,6.410119023903469,67.80425031546002,
20211201,4.6897,5.513193311442034,82.44038400234484,
20220101,4.62266,4.405929186830398,95.31155626479988,
20220201,5.48315,4.857105816749059,88.5823991090716,
20220301,6.79605,6.579188448889432,96.80900595035986,
20220401,5.29152,8.031890315152275,48.21203897647038,
20220501,5.73341,6.695748725545428,83.21524667614163,
20220601,7.07679,6.924067587854055,97.84192533414239,
20220701,8.11634,9.333157602455788,85.00780397992457,
20220801,9.55387,11.045876758707893,84.38322105379399,
20220901,10.8214,10.017741322378837,92.57343155579534,
20221001,13.60838,9.796592490718492,71.98941013345079,
20221101,9.98419,10.0272363690309,99.56885466892255,
20221201,8.18021,9.417548190953688,84.87400456768607,
20230101,8.66229,9.38095193095053,91.70355724698054,
20230201,11.28442,9.576659656616053,84.86621072785357,
20230301,8.93158,8.668589463831914,97.05549817425265,
20230401,7.04217,9.453852328221558,65.75370477819253,
20230501,8.83333,8.412392819917809,95.23467163479468,
20230601,7.91606,9.949006076758126,74.3187131381252,
20230701,7.85121,9.554655150090793,78.30340609803083,
20230801,7.60562,9.512253119874455,74.93125978060363,
20230901,8.99194,9.441650555799916,94.99873713792668,
20231001,10.09995,9.545611374586318,94.51147158734766,
20231101,8.80205,8.6418669490306,98.18016199670078,
20231201,9.22828,8.990931793498861,97.42803418945742,
