Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,31.875,58.062186601455274,17.844120466022673,61.08
20210201,29.875,58.203500593334425,5.176567051600256,
20210301,33.8,58.60027731740038,26.626398469229617,
20210401,34.0,58.30777904166148,28.5065322304074,
20210501,31.875,58.17583978430981,17.487561460988832,
20210601,31.8,58.22458270783582,16.903827962780436,
20210701,31.4375,58.2277188923182,14.782603921055426,
20210801,35.625,58.29475650062385,36.36559578772254,
20210901,42.4,58.40416168564346,62.25433564706731,
20211001,42.875,58.51729958071026,63.5165024356612,
20211101,40.3,58.48499666587685,54.87593879435024,
20211201,36.0,58.79642338212448,36.67660171632089,
20220101,35.875,58.937908872460625,35.71314600010975,
20220201,43.25,59.34691202231266,62.78170630679154,
20220301,48.5,59.461160150780344,77.39966979220547,
20220401,41.5,59.48983405352659,56.651002280658815,
20220501,46.25,59.75471020226483,70.80062658969766,
20220601,58.0,60.003069942164956,96.54643113419836,
20220701,69.5,60.246816874228706,86.68606744493339,
20220801,87.8,60.38466452130399,68.77524432950341,
20220901,95.75,60.68490435704911,63.378490190129625,
20221001,114.375,60.94598663830289,53.28610853622111,
20221101,77.3,61.0548894262142,78.98433302226935,
20221201,48.75,61.45538896905202,73.93766365322662,
20230101,58.75,61.619857694113016,95.11513583980764,
20230201,87.0,61.98845575157671,71.2510985650307,
20230301,66.25,61.85890523932522,93.37193243671732,
20230401,46.5,61.63335302466328,67.45515478567037,
20230501,58.0,61.21406818648293,94.45850312675357,
20230601,51.875,61.413555121557486,81.61242386205785,
20230701,46.625,61.34065118118714,68.43828164892838,
20230801,42.3,60.96470266127525,55.87540742015307,
20230901,51.75,60.80252804590324,82.5071921818295,
20231001,69.625,60.53242850465213,86.9406513531808,
20231101,59.0,60.519346159978376,97.4248370169858,
20231201,61.4375,60.52793611795913,98.51952979525393,
